id,created_at,text,source
667153324714651648,2015-11-19 01:32:02,RT @AssedBaig: Anyone else uncomfortable with the term 'Islamist' and how broadly it is used? From democratically elected parties to ISIS :/,Twitter for Android
667153260831219712,2015-11-19 01:31:47,@bitcoin_mogul @defiantjewess you bastard you was called a nigga and hanged on trees not too long ago,Twitter for Android
667153023903375360,2015-11-19 01:30:50,@bitcoin_mogul @mypoint111 @Mazin011 listen you.fuckin bastard not long ago you was called a nigga and handed on trees,Twitter for Android
667152774866563072,2015-11-19 01:29:51,@bitcoin_mogul @defiantjewess lol.but your black mate fuckin donkey why are you sacking up to zionists lol,Twitter for Android
667151405724082177,2015-11-19 01:24:24,@yasmines_xo @Majstar7 @DailyCaller They are inviting Al Qaeda to do another charlie hebdo on them,Twitter for Android
667150674162003968,2015-11-19 01:21:30,RT @VictorySeries1: Somebody slap this munafiq he shows JN video whilst saying he loves FSA almaniyeen what an idiot  https://t.co/SIxLTn9F…,Twitter for Android
667150612753158144,2015-11-19 01:21:15,"RT @NabilAwadhy: O Allah... If You take my soul tonight, have mercy on it, and if You send it back then protect it as You protect Your righ…",Twitter for Android
667150561909874697,2015-11-19 01:21:03,RT @RamiAlLolah: #Video illustration shows how the #Russia|n plane downed over #Sinai using #ISIS soda can bomb v @MousaAlomar #Egypt https…,Twitter for Android
667150200067252224,2015-11-19 01:19:37,@RamiAlLolah hosw recent is this,Twitter for Android
667150154412216320,2015-11-19 01:19:26,@RamiAlLolah,Twitter for Android
667145600970989568,2015-11-19 01:01:20,"@Channel4News this is,true",Twitter for Android
667145013369905152,2015-11-19 00:59:00,RT @HuffingtonPost: Islamophobia in mainstream media is out of control. It needs to stop https://t.co/71rTERdkJP https://t.co/jcoxVKXeen,Twitter for Android
667130016245915648,2015-11-18 23:59:25,@SalafiMohandis Killing Muslims and making takfir of them is a crime you fool,Twitter Web Client
667129512342212608,2015-11-18 23:57:25,"RT @schumelli1: When French troops were in Algeria...

No comments. https://t.co/awQlXRUkV2",Twitter Web Client
