id,created_at,text,source
669666676301037568,2015-11-25 23:59:12,"RT @taw_ops: #IslamicState #Syria\0x0AAftermath of Assad/Russian airstrikes on the city of Manbij #Aleppo\0x0Ahttps://t.co/NupKBwcnnn https://t.co/…",Twitter for iPhone
669666640192212992,2015-11-25 23:59:03,"RT @taw_ops: #IslamicState #Syria\0x0AAssad/Russian airstrikes on the city of Manbij led to huge damage of civilians properties https://t.co/hI…",Twitter for iPhone
669665859061837824,2015-11-25 23:55:57,"@taw_ops\0x0ABusinessmen too.\0x0A@businessinsider article:\0x0A""In ISIS, businesses were protected from theft and corruption."" https://t.co/1NNwZ7zfbz",Twitter for iPhone
669663953509838848,2015-11-25 23:48:22,RT @taw_ops: Wilayat Halab manufacturer 500 machine per year and it all be sold all over #IslamiState wilayat in #Iraq and #Syria https://t…,Twitter for iPhone
669658625162498048,2015-11-25 23:27:12,"@abusafmaghrebi \0x0Aفي سبيل الطاغوت",Twitter for iPhone
669657667560988673,2015-11-25 23:23:24,"#IS counterterrorism units raided a house in Diyala hunting a group of murtadin\0x0AThey were executed shortly afterward https://t.co/h1z772jdAl",Twitter for iPhone
669652357601476609,2015-11-25 23:02:18,Tunisian govt. released photos of the presidential guards who were killed after their bus was targeted by #IS bomber https://t.co/oeDGkn5xKG,Twitter for iPhone
669645277138182148,2015-11-25 22:34:10,"Aamaq infographic:\0x0ASAA casualties\losses in western Palmyra battles vs. IS during past days:\0x0A74 soldiers\0x0A19 vehicles https://t.co/I4jpt87KKr",Twitter for iPhone
669643507833925632,2015-11-25 22:27:08,"Aamaq on #Tunis attack:\0x0A#IS escalates its attacks against US-led coalition countries and hit #Tunisia's capital city\0x0Ahttps://t.co/AOuAo0NMEv",Twitter for iPhone
669611868340813824,2015-11-25 20:21:24,"Russian air strike hit grain silos in al-Hus, east of #Raqqa province..\0x0A#IslamicState #ISIS #IS #Syria #Russia #RuAF https://t.co/wQ2hKlfk6j",Twitter for iPhone
669596127629590528,2015-11-25 19:18:51,"#IS Syrian istishhadi Abu Obeida carried out SVBIED attack against #ISF &amp; PMU near Speicher base, north of #Tikrit.. https://t.co/dqSRL7qZ92",Twitter for iPhone
669591474221285376,2015-11-25 19:00:22,"Recovery and cleanup efforts by #IslamicState Services Department after the airstrikes..\0x0AMay Allah help them.. #Iraq https://t.co/esmzKt0gmB",Twitter for iPhone
669579133060521984,2015-11-25 18:11:20,"Moslawi:\0x0A""Our brothers in Europe, look what their coalition doing 2 us! Retaliate 4 us! Kill 'em &amp; take our revenge"" https://t.co/BPneWupWJS",Twitter for iPhone
669577690953969664,2015-11-25 18:05:36,"Not to mention the damaged streets, mosques, civilian houses, cars and property..\0x0A#IslamicState #IS #ISIS #Mosul https://t.co/bLEytxU7TS",Twitter for iPhone
669576849287180289,2015-11-25 18:02:15,The criminal #US coalition targeted the buildings of Department of Agriculture in #Mosul &amp; the city's Municipality.. https://t.co/vbytcc6jWs,Twitter for iPhone
669574614025183232,2015-11-25 17:53:22,"#IS released a 🎥 highlighting US-led coalition warcrimes against civilians in #Mosul, #Iraq.\0x0Ahttps://t.co/2XEmXkNLMA https://t.co/rlFCt51A5a",Twitter for iPhone
669573029622620160,2015-11-25 17:47:04,Assalam alaikum; I'm back ☝️ https://t.co/AfMgUmhBNQ,Twitter for iPhone
